conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
4.7,0.1,0.06,77.01,2.0
5.45,7.25,0.07,48.86,2.2
5.25,5.26,0.07,50.48,2.14
5.3,5.83,0.07,49.38,2.18
4.97,2.58,0.07,64.21,2.06
4.8,1.05,0.06,69.64,2.01
5.05,3.35,0.07,61.87,2.08
5.11,3.92,0.07,57.19,2.09
5.01,2.96,0.07,61.87,2.08
5.21,4.88,0.07,54.41,2.14
4.74,0.48,0.06,74.22,2.0
5.23,5.07,0.07,54.41,2.14
4.99,2.77,0.07,61.87,2.08
5.11,3.92,0.07,57.19,2.09
4.87,1.63,0.06,67.69,2.03
-3.1,0.09,0.0,31.88,1.18
-3.1,0.09,0.0,31.88,1.18
-3.1,0.09,0.0,31.88,1.18
-3.1,0.09,0.0,31.88,1.18
-3.1,0.09,0.0,31.88,1.18
4.69,0.1,0.03,60.16,1.34
-5.31,1.03,0.0,44.2,1.33
4.93,2.02,0.03,44.2,1.33
-5.31,0.9,0.0,44.2,1.33
-3.1,0.09,0.0,31.88,1.18
3.1,0.47,0.0,31.88,1.21
3.78,1.81,0.01,47.67,1.21
-3.1,0.09,0.0,31.88,1.18
-3.1,0.09,0.0,31.88,1.18
-3.1,0.09,0.0,31.88,1.18
-3.1,0.09,0.0,31.88,1.18
-3.1,0.09,0.0,31.88,1.18
