conv_rate,dist_nearest_edge,subduction_volume_km3y,carbonate_sediment_thickness,ocean_crust_carb_percent
8.86,10.11,0.07,88.71,1.46
8.83,9.23,0.06,85.97,1.44
8.86,10.11,0.07,88.71,1.46
8.83,9.23,0.06,85.97,1.44
8.86,10.11,0.07,88.71,1.46
8.95,13.7,0.09,111.95,1.68
8.89,11.45,0.09,100.14,1.59
8.94,13.37,0.09,111.95,1.68
8.97,14.67,0.1,89.99,1.8
2.16,4.2,0.0,45.37,1.31
2.17,4.35,0.01,45.37,0.83
2.01,0.08,0.02,101.17,1.58
2.01,0.08,0.02,101.17,1.58
2.01,0.08,0.02,101.17,1.58
2.01,0.08,0.02,101.17,1.58
2.01,0.08,0.02,101.17,1.58
2.05,1.08,0.02,99.8,1.59
2.06,1.27,0.02,99.8,1.59
2.03,0.53,0.02,101.17,1.58
2.01,0.08,0.02,101.17,1.58
2.01,0.08,0.02,101.17,1.58
2.01,0.08,0.02,101.17,1.58
2.17,4.35,0.01,45.37,0.83
2.2,5.2,0.0,19.14,0.83
8.71,5.89,0.01,19.14,0.83
8.71,5.89,0.01,19.14,0.83
2.17,4.35,0.01,45.37,0.83
2.17,4.35,0.01,45.37,0.83
2.03,0.53,0.02,101.17,1.58
2.17,4.35,0.01,45.37,0.83
2.17,4.35,0.01,45.37,0.83
8.71,5.89,0.01,19.14,0.83
8.71,5.89,0.01,19.14,0.83
2.17,4.5,0.01,45.37,0.83
2.18,4.82,0.01,45.37,0.83
2.21,5.55,0.0,19.14,0.83
9.03,21.98,0.13,53.11,2.03
9.03,22.37,0.13,49.67,2.05
2.6,1.68,0.04,50.85,1.95
8.42,17.74,0.1,67.73,2.03
8.96,29.84,0.13,31.27,2.17
8.82,28.0,0.12,34.91,2.17
8.97,14.86,0.1,83.9,1.82
2.01,0.08,0.01,98.92,1.57
7.69,6.6,0.04,69.89,1.57
2.97,1.76,0.0,114.02,1.45
2.41,2.86,0.04,50.85,2.69
8.04,11.52,0.1,101.36,1.79
9.01,26.21,0.13,35.85,2.21
8.91,31.26,0.14,31.29,2.17
8.67,23.21,0.1,58.38,2.15
9.01,18.81,0.1,70.37,2.0
8.72,6.13,0.03,13.64,0.8
8.88,11.13,0.06,92.4,1.55
2.16,4.35,0.01,34.17,0.8
7.57,4.81,0.03,73.25,1.52
3.09,2.99,0.01,114.02,1.52
3.13,3.45,0.02,114.02,1.52
2.91,1.21,0.04,114.02,1.45
2.95,1.52,0.03,114.02,1.45
2.51,2.61,0.04,50.85,2.69
2.97,1.71,0.02,114.02,1.45
2.18,0.1,0.03,49.15,2.74
2.32,1.87,0.04,48.32,2.69
7.83,8.62,0.05,100.5,1.83
7.87,9.26,0.04,100.5,1.83
8.26,14.84,0.1,97.3,1.78
8.01,11.12,0.1,101.36,1.81
8.48,18.92,0.11,67.73,2.08
8.35,16.39,0.1,95.82,2.03
8.22,14.26,0.1,97.4,1.78
8.78,26.45,0.11,34.91,2.18
9.03,24.3,0.12,47.34,2.14
9.02,24.67,0.12,45.84,2.17
9.02,26.02,0.13,35.85,2.21
8.99,28.16,0.14,32.96,2.19
8.96,29.84,0.13,31.27,2.17
8.99,27.97,0.14,32.96,2.19
8.92,31.8,0.14,31.29,2.17
8.95,30.73,0.14,31.27,2.17
8.85,29.14,0.12,32.14,2.17
8.87,29.9,0.13,31.29,2.17
8.9,30.89,0.14,31.29,2.17
8.93,31.26,0.13,31.27,2.17
8.59,21.27,0.11,64.16,2.11
8.54,20.09,0.11,64.16,2.11
8.75,25.5,0.11,51.0,2.18
8.71,24.16,0.1,128.83,2.15
8.81,27.62,0.09,34.91,2.17
9.0,17.12,0.1,79.87,1.93
9.02,20.39,0.12,68.48,2.02
9.03,23.74,0.12,47.34,2.14
9.02,19.01,0.12,70.37,2.0
9.03,20.79,0.12,66.08,2.04
8.97,15.42,0.1,83.9,1.93
9.0,17.68,0.1,70.37,2.0
8.88,10.97,0.07,92.4,1.55
8.93,13.21,0.08,99.84,1.65
8.76,7.31,0.06,76.08,1.14
8.83,9.23,0.07,86.97,1.49
2.2,5.18,0.01,13.64,0.8
2.01,0.08,0.01,98.92,1.57
2.03,0.53,0.01,98.92,1.57
2.04,0.7,0.02,97.71,1.57
8.69,5.36,0.02,13.64,0.8
2.16,4.35,0.01,34.17,0.8
8.69,5.55,0.02,13.64,0.8
7.71,6.94,0.05,69.89,1.57
7.63,5.72,0.05,69.89,1.52
7.66,6.3,0.04,69.89,1.52
7.63,5.72,0.05,69.89,1.52
3.15,3.62,0.01,114.02,1.52
7.57,4.81,0.03,73.25,1.52
3.13,3.45,0.02,114.02,1.52
3.08,2.85,0.02,114.02,1.52
3.09,2.99,0.01,114.02,1.52
3.09,2.99,0.01,114.02,1.52
2.97,1.71,0.02,114.02,1.45
2.97,1.71,0.02,114.02,1.45
3.01,2.2,0.04,114.02,1.45
2.85,0.71,0.05,114.02,1.45
7.54,4.35,0.04,73.25,1.52
3.09,2.99,0.01,114.02,1.52
2.53,2.42,0.04,50.85,2.69
2.32,1.87,0.04,48.32,2.69
2.9,1.08,0.04,114.02,1.45
2.84,0.54,0.05,114.02,1.45
2.97,1.71,0.02,114.02,1.45
2.95,1.52,0.03,114.02,1.45
2.9,1.08,0.04,114.02,1.45
2.48,2.99,0.04,50.85,2.69
2.9,1.08,0.04,114.02,1.45
2.97,1.76,0.0,114.02,1.45
2.97,1.76,0.0,114.02,1.45
2.97,1.71,0.02,114.02,1.45
2.93,1.42,0.03,114.02,1.45
2.37,2.46,0.04,48.32,2.69
2.27,1.28,0.04,48.32,2.69
2.48,2.99,0.04,50.85,2.69
2.37,2.46,0.04,48.32,2.69
2.43,3.05,0.04,50.85,2.69
2.32,1.87,0.04,48.32,2.69
2.18,0.1,0.03,49.15,2.74
2.2,0.3,0.03,49.15,2.74
2.24,0.89,0.03,49.15,2.74
2.18,0.1,0.03,49.15,2.74
7.75,7.48,0.05,90.16,1.83
7.7,6.76,0.05,69.89,1.57
7.8,8.28,0.06,90.16,1.83
7.76,7.65,0.05,90.16,1.83
7.83,8.62,0.05,100.5,1.83
7.96,10.42,0.07,101.36,1.83
